source_genesymbol	target_genesymbol	is_directed
Pgr	Ccnd1	1
Fos	Pgr	1
Pgr	Rela	1
Rela	Pgr	1
Pgr	Klk1b11	1
Pgr	Klk1b9	1
Pgr	Klk1b26	1
Pgr	Klk1b5	1
Pgr	Klk1b3	1
Pgr	Klk1b22	1
Pgr	Klk1	1
Pgr	Klk1b21	1
Pgr	Klk1b24	1
Pgr	Klk1b16	1
Pgr	Klk1b27	1
Pgr	Klk1b8	1
Pgr	Klk1b4	1
Myc	Lair1	1
Tp53	Pycard	1
E2f1	Casr	1
Myc	Egr3	1
Egr3	Nab2	1
Nfatc2	Egr3	1
Sp3	Slc1a3	1
Usf1	Slc1a3	1
E2f1	Mcph1	1
Nfkb1	Cd69	1
Fos	Cd69	1
Rela	Cd69	1
Sp1	Lhcgr	1
Nr2f1	Lhcgr	1
Nr2f6	Lhcgr	1
Rxra	Cxcr5	1
Rara	Cxcr5	1
Pou2f1	Cxcr5	1
Hif1a	Egln3	1
Epas1	Egln3	1
Myc	Amd2	1
Myc	Cckbr	1
Esr1	Wisp2	1
Stat6	Rhoa	1
Tp53	Rhoa	1
Vdr	Ptk2b	1
Hey2	Acta2	1
Elk1	Acta2	1
Tp53	Acta2	1
Myc	Cox7a2l	1
Myc	Shmt1	1
Yy1	Rab3gap1	1
Sp3	Padi1	1
Sp1	Padi1	1
Rfxank	H2-Ea	1
Rfxap	H2-Ea	1
Creb1	H2-Ea	1
Pou2f1	H2-Ea	1
Pou2f2	H2-Ea	1
Fos	H2-Ea	1
E2f1	Gmnn	1
E2f4	Gmnn	1
E2f1	Arhgef17	1
Spi1	Tyrobp	1
Hoxa11	Hoxa10	1
Usf2	Igf2r	1
Usf2	Top3a	1
Usf2	Brca2	1
Usf2	Myh9	1
Usf2	Ctsb	1
Usf2	Cyp19a1	1
Usf2	P4ha1	1
Usf2	Tgfb1	1
Usf2	Ptgs2	1
Usf2	Brca1	1
Usf2	Cxcr4	1
Usf2	Pigr	1
Usf2	Atp5f1a	1
Usf2	Slc19a1	1
Usf2	Tert	1
Usf2	Cd2	1
Usf2	Tcn2	1
Usf2	Ptpn6	1
Usf2	Hoxb4	1
Usf2	Fbp1	1
Usf2	Ceacam1	1
Usf2	Ctsd	1
Usf2	Lipc	1
Usf2	B2m	1
Usf2	Abca1	1
Usf2	Hmox1	1
Usf2	Fcer1a	1
Usf2	Pdx1	1
Usf2	Pf4	1
Usf2	Cyp1a2	1
Usf2	Apoa2	1
Usf2	Tgfb2	1
Usf2	Ceacam2	1
Rarg	Has2	1
Srf	Tagln	1
Elk1	Tagln	1
Vdr	Trpv6	1
Smad4	Zfp36	1
Smad3	Zfp36	1
Hbp1	Ncf1	1
Spi1	Ncf1	1
E2f4	Bcl11a	1
Sp1	Gja1	1
Jun	Gja1	1
Etv4	Tgfbr2	1
Fli1	Tgfbr2	1
Egr1	Tgfbr2	1
Ets1	Tgfbr2	1
Sp1	Tgfbr2	1
Spi1	Tgfbr2	1
Hif1a	Itgb2	1
Cebpa	Itgb2	1
Spi1	Itgb2	1
Smad4	Btrc	1
Smad4	Bglap3	1
Smad4	Bambi	1
Smad4	Myc	1
Smad4	Por	1
Smad4	Runx1t1	1
Smad4	Col7a1	1
Smad4	Tgfb1	1
Smad4	Ihh	1
Smad4	Epo	1
Smad4	Dach1	1
Smad4	Ahr	1
Ets1	Smad4	1
Smad4	Ets1	1
Smad4	Cdkn2b	1
Sp1	Smad4	1
Smad4	Tnfrsf11b	1
Smad4	Cdkn1a	1
Smad4	Nkx2-5	1
Smad4	Smad7	1
Smad4	Tnc	1
Smad4	Cyr61	1
Smad4	Fstl3	1
Jun	Smad4	1
Smad4	Jun	1
Smad4	Fshb	1
Fos	Smad4	1
Smad4	Bglap2	1
Smad4	Bglap	1
Hnf4a	Bphl	1
Spi1	Bphl	1
Hnf1a	Apoh	1
Tp53	Rassf1	1
E2f1	Sntb2	1
Ctcf	Col27a1	1
Tp53	Cd82	1
Jun	Cd82	1
Egr1	Gdnf	1
Nfkb1	Gdnf	1
Cebpa	Gdnf	1
Crem	Cd247	1
Yy1	Pak4	1
Esr1	Krt19	1
Sp1	Krt19	1
Fos	Lrig2	1
Esr1	Fbln2	1
Tp53	Fbln2	1
E2f4	Akr7a2	1
E2f1	Slc35f3	1
Myc	Ptpa	1
Ctcf	Ptpa	1
Ets1	Ptpa	1
Tp53	Ptpa	1
Gata2	Ppp1r15a	1
Myc	Zfp36l1	1
E2f4	Zfp36l1	1
Irf7	Cxcl10	1
Nfkb1	Irf7	1
Spib	Irf7	1
Irf3	Irf7	1
Irf7	Ifnb1	1
Rela	Irf7	1
E2f2	Cdc6	1
E2f3	Cdc6	1
E2f1	Cdc6	1
Ar	Cdc6	1
E2f4	Cdc6	1
E2f1	Tmco5a	1
Nfkb1	Ripk2	1
Rela	Ripk2	1
E2f4	Ripk2	1
Pparg	Retn	1
Ar	Xpa	1
Srebf1	Pcyt2	1
Srebf2	Pcyt2	1
Myc	Rpl6	1
Ar	Skt	1
Ctcf	Mrpl17	1
Spdef	Agr2	1
Ar	Spdef	1
E2f4	Rabif	1
Gata2	Dpysl2	1
Ets1	Was	1
Myb	Was	1
Spi1	Was	1
Nr1h4	Abcb11	1
Nr1h4	Abcb4	1
Nr1h4	Nr0b2	1
Nr0b1	Nr1h4	1
Nr1h4	Nr1i2	1
Nr1h4	Fabp6	1
Fos	Hsph1	1
Tfap2a	S100b	1
Tp53	S100b	1
Nfkb1	Cd74	1
Rela	Cd74	1
Myc	Eno1	1
Hif1a	Eno1	1
Rara	Scd1	1
Cebpa	Scd1	1
Srebf1	Scd1	1
Creb1	Bdnf	1
Rest	Bdnf	1
Tfap2a	Fas	1
Yy1	Fas	1
Egr1	Fas	1
Nfkb1	Fas	1
Gli2	Fas	1
Ets1	Fas	1
Cebpa	Fas	1
Sp1	Fas	1
Tp53	Fas	1
Jun	Fas	1
Fos	Fas	1
E2f1	Atg10	1
Myc	Insr	1
Cebpa	Insr	1
Sp1	Insr	1
Cebpb	Insr	1
E2f1	Siah1a	1
Tp53	Siah1a	1
Ctcf	Atxn7	1
Esr1	F12	1
Myc	Dkc1	1
Gfi1	Gfi1b	1
Gfi1b	Mef2c	1
Gata1	Gfi1b	1
E2f1	Cldn23	1
Sox8	Cldn23	1
Mitf	Ppargc1a	1
Foxo4	Ppargc1a	1
Foxl2	Ppargc1a	1
Esr1	Ncoa1	1
Ncoa1	Esr1	1
Bach2	Il2	1
Rara	Crabp2	1
Tfap2a	Crabp2	1
Egr1	Crabp2	1
Tfap2c	Crabp2	1
E2f4	Xrcc2	1
Atf3	Gclc	1
Nfe2l2	Gclc	1
Sp1	Gclc	1
Jun	Gclc	1
Fosl1	Gclc	1
E2f1	Xrcc1	1
E2f1	Gins3	1
Esr1	Wnt7a	1
Nfkb1	Tnfrsf10b	1
Ets1	Tnfrsf10b	1
Tp53	Tnfrsf10b	1
Jun	Tnfrsf10b	1
Rela	Tnfrsf10b	1
E2f1	Racgap1	1
Zbtb17	Cdkn2b	1
Ctcf	Tsfm	1
Ar	Thra	1
Thra	Cga	1
Myc	Arf4	1
E2f2	Asf1b	1
E2f1	Asf1b	1
E2f4	Asf1b	1
Vdr	Hoxa10	1
Vdr	Ddit4	1
Vdr	Bglap3	1
Snai2	Vdr	1
Vdr	Igfbp3	1
Snai1	Vdr	1
Klf4	Vdr	1
Vdr	Asap2	1
Vdr	Bhlhe40	1
Vdr	Egfr	1
Vdr	Il10	1
Vdr	Camp	1
Sp1	Vdr	1
Vdr	Sp1	1
Tp63	Vdr	1
Vdr	Cdkn1a	1
Vdr	Cyp7a1	1
Vdr	Cyp24a1	1
Tp53	Vdr	1
Vdr	Cdh1	1
Vdr	Ell	1
Vdr	Calb1	1
Jun	Vdr	1
Vdr	Il12b	1
Fos	Vdr	1
Vdr	Bglap2	1
Vdr	Bglap	1
E2f1	Smarca5	1
E2f4	Smarca5	1
Myc	Pold2	1
Tfap2a	Pold2	1
Creb1	Pold2	1
Jun	Pold2	1
E2f4	Pold2	1
Sp1	Sigirr	1
Myc	Gpr4	1
E2f1	Memo1	1
E2f4	Creg1	1
Cebpa	Agxt	1
Tfap2a	Adm	1
Hif1a	Adm	1
Cebpb	Adm	1
Tp53	Casp3	1
Myc	Rpl13	1
Cebpa	Mad1l1	1
Tp53	Mad1l1	1
Spi1	Flii	1
E2f4	Hnrnpd	1
Max	Serf2	1
Max	Odc1	1
Sp1	Hdac4	1
Sox4	Hdac8	1
Ppard	Sat1	1
Ctcf	Ppard	1
Ppard	Cpt1b	1
Ppard	Angptl4	1
Jun	Ppard	1
Ppard	Lpl	1
Ppard	Rela	1
Rela	Ppard	1
Tal1	Usp34	1
Gli2	Wnt2b	1
Rxra	Abcb11	1
Pax5	Cd79a	1
Esr1	Tsc22d3	1
Pou2f1	Tsc22d3	1
Cebpa	Tsc22d3	1
Tsc22d3	Foxo1	1
Foxo3	Tsc22d3	1
Tsc22d3	Foxo3	1
Myc	Hes1	1
Hes1	Myc	1
Hes1	E2f1	1
E2f1	Hes1	1
Hes1	Ptgds	1
Rbpj	Hes1	1
Sox9	Hes1	1
Hes1	Ascl1	1
Ar	Hes1	1
Hes1	Dbf4	1
Yy1	Mrpl46	1
Myc	Snrpb	1
Ar	Ddc	1
Gata3	Tet2	1
E2f4	P4ha2	1
Gata3	Ust	1
E2f1	Atad2	1
Nrf1	Prdx5	1
Esr1	Nrf1	1
Nrf1	Capns1	1
Pou2f1	Snapc1	1
Myc	Blk	1
Pax5	Blk	1
Sp3	Lcat	1
Sp1	Lcat	1
Spi1	Lcp2	1
Yy1	Rnf40	1
Myc	Aldh9a1	1
Ar	Cdkl5	1
Mafk	Nqo1	1
Esr1	Nqo1	1
Nfe2l2	Nqo1	1
Nfkb1	Nqo1	1
Mafg	Nqo1	1
Jun	Nqo1	1
Fos	Nqo1	1
Fosl1	Nqo1	1
Stat5a	Il6st	1
Stat5b	Il6st	1
Egr1	Timp3	1
Dnmt1	Timp3	1
Foxo1	Timp3	1
Nfkb1	A2m	1
Prdm1	Ciita	1
Prdm1	Myc	1
E2f1	Prdm1	1
Spib	Prdm1	1
Bcl6	Prdm1	1
Tp53	Prdm1	1
Pax5	Prdm1	1
Tp53	Xpc	1
Foxo4	Scp2	1
Foxo1	Scp2	1
Cebpa	Csrp1	1
Cebpb	Csrp1	1
Myc	Ybx3	1
E2f1	Ybx3	1
Gabpa	Brca1	1
Ets1	Gabpa	1
Gabpa	Tomm70	1
E2f4	Gabpa	1
Cebpa	Q9D2X8	1
Hnf4g	Shbg	1
Hnf4a	Shbg	1
Tfdp1	Mybl2	1
Myc	Mybl2	1
Mybl2	Myc	1
E2f1	Mybl2	1
Sp1	Mybl2	1
Mybl2	Sp1	1
Mybl2	Myb	1
Nfkb1	Ccl4	1
Rela	Ccl4	1
Esr1	Cldn4	1
Hnf4a	Cldn4	1
Nfe2	Tbxa2r	1
Gata1	Nfe2	1
Esr1	Sparc	1
Ar	Prkcd	1
Pknox1	Ptpn6	1
Foxa1	Greb1	1
Esr1	Greb1	1
Tfap2c	Greb1	1
Fos	Greb1	1
Gata3	Greb1	1
Pax8	Tg	1
Creb1	Tg	1
E2f1	Peg3	1
Tp53	Peg3	1
E2f4	Gins1	1
Cebpa	Rnase2b	1
Hnf4a	Rnase2b	1
Spi1	Rnase2b	1
E2f4	Aldh5a1	1
Spi1	Lsp1	1
Egr1	Cd19	1
Sp1	Cd19	1
Pax5	Cd19	1
Creb1	Il6	1
Egr1	Il6	1
Nfkb1	Il6	1
Cebpa	Il6	1
Cebpb	Il6	1
Jun	Il6	1
Rela	Il6	1
Fosl1	Il6	1
Myc	Lamp1	1
E2f1	Egf	1
Esr1	Egf	1
Egr1	Ptges	1
Hnf1a	Fgl1	1
Hoxa10	Itgb3	1
Hoxa10	Phgdh	1
Hoxa10	Emx2	1
Esr1	Hoxa10	1
Hoxa10	Igfbp1	1
Sox9	Nkx3-2	1
Myc	Npm1	1
Egr1	Epx	1
Ctcf	Epx	1
Cebpa	Epx	1
Sox10	Gjc2	1
Ctcf	Plxnb3	1
Arnt	Cyp1b1	1
Ahr	Cyp1b1	1
Esr1	Cyp1b1	1
Sp1	Cyp1b1	1
Pparg	Sat1	1
Atf4	Ddit4	1
E2f1	Ddit4	1
Elk1	Ddit4	1
Tp53	Ddit4	1
Spi1	Cd47	1
Cebpa	Saa1	1
Cebpb	Saa1	1
Sp1	Adrb3	1
Nr2e1	Plce1	1
E2f4	Haghl	1
Tcf4	Nrxn1	1
Lhx3	Gnrhr	1
Jun	Gnrhr	1
E2f1	Rnf128	1
Gata1	Aggf1	1
Rxra	Hnf1a	1
Rxra	Abcc3	1
Rxra	Cpt1b	1
Rxra	Cyp7a1	1
Rxra	Srebf1	1
Rxra	Nr1h3	1
Rxra	Hsd17b2	1
Rxra	Nol7	1
Irf1	Ciita	1
Creb1	Ciita	1
Irf2	Ciita	1
Usf1	Ciita	1
Atf1	Ciita	1
Spi1	Ciita	1
Hif1a	Slc2a1	1
Tp53	Slc2a1	1
Jun	Rhob	1
Gata3	Rhoh	1
E2f2	Plk4	1
E2f1	Plk4	1
E2f4	Plk4	1
Creb1	Ppp2ca	1
E2f1	Pdpn	1
Tfdp1	Cdk1	1
Tfdp1	Dhfr	1
Tfdp1	Tyms	1
Tfdp1	Rrm1	1
Tfdp1	Ccne1	1
Tfdp1	Pcna	1
Tfdp1	Cav1	1
Gli2	Ugcg	1
Esr1	Arid5b	1
E2f4	Cenpe	1
Srebf1	Pik3r3	1
Jund	Csta	1
Tfap2c	Csta	1
Jun	Csta	1
Fos	Csta	1
Znf148	Irs2	1
Sp1	Irs2	1
Srebf1	Irs2	1
Irf1	Ifit3	1
Irf9	Ifit3	1
Spi1	Ifit3	1
Ar	Stk39	1
Myb	Lmo2	1
Rorc	Il22b	1
Etv4	Erbb2	1
Etv4	Agtr1a	1
Etv4	Vim	1
Etv4	Ptgs2	1
E2f1	Etv4	1
Etv4	Tnf	1
Ets1	Etv4	1
Etv4	Ets1	1
Etv4	Bdkrb1	1
Etv4	Syn2	1
Etv4	Plaur	1
Etv4	Mmp2	1
E2f1	Mras	1
E2f1	Slc6a19	1
Usf1	S100a6	1
Rela	S100a6	1
Rfxank	H2-Ab1	1
Rfxank	H2-Aa	1
Irf1	Cd40	1
Nfkb1	Cd40	1
Spib	Cd40	1
Spi1	Cd40	1
Relb	Cd40	1
Rela	Cd40	1
Esr1	Tgfa	1
Sp1	Tgfa	1
Hnf4a	Tgfa	1
Tp53	Tgfa	1
Myc	Golph3	1
Mitf	Gpr143	1
Spi1	Tfec	1
Sp1	Fes	1
Spi1	Fes	1
Ctcf	Tmbim6	1
Yy1	Snx27	1
Cebpa	Apbb1ip	1
Spi1	Apbb1ip	1
Tal1	Cd34	1
Myb	Cd34	1
Ar	H2-T23	1
Tal1	Elmo1	1
Tal1	Cdh23	1
Tal1	Erg	1
Tal1	Aldh1a2	1
Tal1	Nfkb1	1
Sp1	Tal1	1
Tal1	Ube2h	1
Tal1	Myb	1
Tal1	Ssh2	1
Tal1	Ppp3ca	1
Spi1	Tal1	1
Tal1	Spi1	1
Tal1	Chst11	1
Tal1	C3ar1	1
Tal1	Cdh13	1
Tal1	Plekho1	1
E2f1	Fbxo5	1
E2f4	Fbxo5	1
Stat4	Tbx21	1
Nfkb1	Tbx21	1
Tbx21	Nfkb1	1
Tbx21	Il4	1
Tbx21	Ifng	1
Tbx21	Cxcr3	1
Rela	Tbx21	1
Tbx21	Gata3	1
Maff	Oxtr	1
Tp53	Sertad1	1
Ar	Rbpms	1
Yy1	Top3a	1
Usf1	Top3a	1
E2f1	Aars	1
E2f1	Irf4	1
Nfkb1	Irf4	1
Irf4	Nfkb1	1
Irf4	Cd68	1
Bcl6	Irf4	1
Irf4	Bcl6	1
Irf4	Fcer2	1
Rela	Irf4	1
Gli1	Sfrp1	1
Klf2	Thbd	1
Mef2a	Klf2	1
Klf2	Nos3	1
Mef2c	Klf2	1
Foxo1	Klf2	1
E2f1	Kif23	1
Lyl1	Erg	1
Gata2	Lyl1	1
Rarg	Rarb	1
Rarb	Rarg	1
Rara	Rarb	1
Myc	Rarb	1
Rarb	Myc	1
Rarb	Plat	1
Creb1	Rarb	1
Jun	Rarb	1
Rarb	Jun	1
Rarb	Adh5	1
Rarb	Rxrg	1
Pparg	Rarb	1
Atf4	Ddr2	1
Stat5a	Myd88	1
Ctcf	Myd88	1
Nrl	Rho	1
E2f1	Ascc2	1
Ctcf	Dmpk	1
Stat4	S100a4	1
Nfat5	S100a4	1
E2f1	Lyplal1	1
Hoxb7	Fgf2	1
Sp3	Hoxb7	1
Sp1	Hoxb7	1
Usf1	Hoxb7	1
Cebpa	Homer3	1
Cebpa	Gls2	1
Hif1a	Stc2	1
Ppara	Acox2	1
Spi1	Clec4g	1
Stat4	Pim1	1
Stat5a	Pim1	1
Sp1	Pim1	1
Stat5b	Pim1	1
Gata4	Erbb2	1
Gata4	Nos3	1
Nanog	Gata4	1
Gata4	Nppa	1
Gata4	Ada	1
Gata4	Il5	1
Nkx2-5	Gata4	1
Gata4	Cyp17a1	1
Ppara	Tuba1b	1
Rora	Tuba1b	1
Nfkb1	Ebi3	1
Rela	Ebi3	1
Sp1	Mcts1	1
Nr2f2	Myog	1
Myog	Acacb	1
Myc	Lta4h	1
E2f4	Lin54	1
E2f4	Tsnax	1
Spi1	Csf2ra	1
E2f4	Gnas	1
Sp3	Tpmt	1
Sp1	Tpmt	1
Ctcf	Cep135	1
Creb1	Aqp3	1
Creb1	Nts	1
Atf1	Nts	1
Jun	Nts	1
Fos	Nts	1
Ctcf	Hebp2	1
Myod1	Actc1	1
Nr2f2	Myod1	1
Myod1	Acacb	1
Hnf4a	C1qtnf5	1
E2f1	Sephs1	1
Fosl2	Mmp13	1
Maf	Mmp13	1
Runx2	Mmp13	1
Esr1	Mmp13	1
Nfkb1	Mmp13	1
Ets1	Mmp13	1
Ar	Mmp13	1
Jund	Mmp13	1
Elk1	Mmp13	1
Ybx1	Mmp13	1
Jun	Mmp13	1
Tfap2a	Bace1	1
Nr1i3	Ugt1a1	1
Hnf1a	Ugt1a1	1
Sp1	Hsd3b6	1
E2f1	Cdh20	1
Elk1	Ly96	1
Spi1	Ly96	1
Myc	Casp8ap2	1
E2f1	Tk1	1
Cebpa	Tk1	1
Myb	Tk1	1
E2f4	Tk1	1
E2f1	Ccne2	1
Erg	Fgf2	1
Egr1	Fgf2	1
Tp53	Fgf2	1
Ets1	Nrp1	1
Jun	Ngf	1
Fos	Ngf	1
Nr2f2	Tf	1
Hif1a	Tf	1
Tfcp2	Tf	1
Cebpa	Tf	1
Hif1a	Ankrd37	1
E2f4	Ppia	1
Rfxap	H2-Ab1	1
Rfxap	H2-Aa	1
Nfkb1	Edn1	1
Hif1a	Edn1	1
Cebpa	Edn1	1
Smad3	Edn1	1
Jun	Edn1	1
Rela	Edn1	1
Gata3	Edn1	1
Myc	Brca2	1
Elf1	Brca2	1
Nfkb1	Brca2	1
Usf1	Brca2	1
Tp53	Brca2	1
Rela	Brca2	1
Ets2	Cdkn2a	1
Ets2	Mdm2	1
Myc	Ets2	1
Ets2	Myc	1
Ets2	Vwf	1
Ets2	Cdk1	1
Ets2	Mmp3	1
Ets2	Erg	1
Ets2	Csf3r	1
Ets2	Fli1	1
Ets2	Brca1	1
Erf	Ets2	1
Egr1	Ets2	1
Ets2	Egr1	1
Ets2	Jak3	1
Ets2	Tert	1
Ets2	Il5	1
Ets2	Mmp9	1
Ets2	Pde7a	1
Ets2	Icam1	1
Ets2	Ets1	1
Ets1	Ets2	1
Ets2	Msr1	1
Ets2	Psen1	1
Sp1	Ets2	1
Ets2	Anpep	1
Tp53	Ets2	1
Ets2	Tp53	1
Ets2	Cga	1
Ets2	Angpt2	1
Jun	Ets2	1
Ets2	Jun	1
Ets2	Il12b	1
Ets2	Chrne	1
Ets2	Fosl1	1
Ets2	Csf2	1
Ets2	Cdkn2a	1
Myc	Gstp1	1
Nfkb1	Gstp1	1
Sp1	Gstp1	1
Tp53	Gstp1	1
Fos	Gstp1	1
Rela	Gstp1	1
E2f1	Sstr1	1
Myc	Spast	1
Myc	Acadm	1
Ar	Grb10	1
Tp53	Eef1a1	1
Yy1	Lss	1
Rara	Nr1i3	1
Sp1	Pttg1	1
Tp53	Pttg1	1
Atf6	Sel1l	1
Pax6	Necab2	1
E2f1	Osr1	1
Usf1	Myh9	1
Ar	Glrx	1
Myc	Ntn3	1
E2f1	Eif3a	1
Rest	Cartpt	1
Ets1	Cdc37	1
Tbx2	Cdkn2a	1
Tbx2	Cdkn2a	1
Myc	Gapdh	1
Cebpd	Gapdh	1
Hif1a	Gapdh	1
Cebpa	Gapdh	1
Tp53	Mndal	1
Srebf1	Lrp1	1
Srebf2	Lrp1	1
Ctcf	Celsr3	1
Myc	Ndrg1	1
Ets1	Ndrg1	1
Ar	Ndrg1	1
Tp53	Ndrg1	1
Mycn	Ndrg1	1
Sp1	Adipoq	1
Pparg	Adipoq	1
Foxa1	G6pc	1
Hnf1a	G6pc	1
Foxa2	G6pc	1
Creb1	G6pc	1
Foxo4	G6pc	1
Hnf4a	G6pc	1
Foxo1	G6pc	1
Foxo3	G6pc	1
Irf1	Tnfsf10	1
Foxo4	Tnfsf10	1
Nfkb1	Tnfsf10	1
Sp1	Tnfsf10	1
Foxo1	Tnfsf10	1
